CustomerID,Name,Region,JoinDate,LoyaltyPoints,PreferredContactMethod,StandardDateTime
1001,William White,East,11/11/2021,22,Email,2021-11-11
1002,Wylie Coyote,East,2/14/2023,40,Phone,2023-02-14
1003,Dan Brown,West,10/19/2023,29,Phone,2023-10-19
1004,Chewbacca,West,11/9/2022,48,Email,2022-11-09
1005,Dr Who,North,8/18/2023,37,Phone,2023-08-18
1006,Tiffany James,South,6/7/2021,7,Phone,2021-06-07
1007,Susan Johnson,South,6/30/2023,18,Email,2023-06-30
1008,Tony Stark,North,5/1/2020,41,Email,2020-05-01
1009,Jason Bourne,West,12/1/2020,16,Phone,2020-12-01
1010,Hermione Granger,East,12/9/2022,33,Email,2022-12-09
1011,Hermione Grager,East,12/9/2022,27,Email,2022-12-09
